Label (Grouping),Arkansas!!Total!!Margin of Error,"Arkansas County, Arkansas!!Total!!Margin of Error","Ashley County, Arkansas!!Total!!Margin of Error","Baxter County, Arkansas!!Total!!Margin of Error","Benton County, Arkansas!!Total!!Margin of Error","Boone County, Arkansas!!Total!!Margin of Error","Bradley County, Arkansas!!Total!!Margin of Error","Calhoun County, Arkansas!!Total!!Margin of Error","Carroll County, Arkansas!!Total!!Margin of Error","Chicot County, Arkansas!!Total!!Margin of Error","Clark County, Arkansas!!Total!!Margin of Error","Clay County, Arkansas!!Total!!Margin of Error","Cleburne County, Arkansas!!Total!!Margin of Error","Cleveland County, Arkansas!!Total!!Margin of Error","Columbia County, Arkansas!!Total!!Margin of Error","Conway County, Arkansas!!Total!!Margin of Error","Craighead County, Arkansas!!Total!!Margin of Error","Crawford County, Arkansas!!Total!!Margin of Error","Crittenden County, Arkansas!!Total!!Margin of Error","Cross County, Arkansas!!Total!!Margin of Error","Dallas County, Arkansas!!Total!!Margin of Error","Desha County, Arkansas!!Total!!Margin of Error","Drew County, Arkansas!!Total!!Margin of Error","Faulkner County, Arkansas!!Total!!Margin of Error","Franklin County, Arkansas!!Total!!Margin of Error","Fulton County, Arkansas!!Total!!Margin of Error","Garland County, Arkansas!!Total!!Margin of Error","Grant County, Arkansas!!Total!!Margin of Error","Greene County, Arkansas!!Total!!Margin of Error","Hempstead County, Arkansas!!Total!!Margin of Error","Hot Spring County, Arkansas!!Total!!Margin of Error","Howard County, Arkansas!!Total!!Margin of Error","Independence County, Arkansas!!Total!!Margin of Error","Izard County, Arkansas!!Total!!Margin of Error","Jackson County, Arkansas!!Total!!Margin of Error","Jefferson County, Arkansas!!Total!!Margin of Error","Johnson County, Arkansas!!Total!!Margin of Error","Lafayette County, Arkansas!!Total!!Margin of Error","Lawrence County, Arkansas!!Total!!Margin of Error","Lee County, Arkansas!!Total!!Margin of Error","Lincoln County, Arkansas!!Total!!Margin of Error","Little River County, Arkansas!!Total!!Margin of Error","Logan County, Arkansas!!Total!!Margin of Error","Lonoke County, Arkansas!!Total!!Margin of Error","Madison County, Arkansas!!Total!!Margin of Error","Marion County, Arkansas!!Total!!Margin of Error","Miller County, Arkansas!!Total!!Margin of Error","Mississippi County, Arkansas!!Total!!Margin of Error","Monroe County, Arkansas!!Total!!Margin of Error","Montgomery County, Arkansas!!Total!!Margin of Error","Nevada County, Arkansas!!Total!!Margin of Error","Newton County, Arkansas!!Total!!Margin of Error","Ouachita County, Arkansas!!Total!!Margin of Error","Perry County, Arkansas!!Total!!Margin of Error","Phillips County, Arkansas!!Total!!Margin of Error","Pike County, Arkansas!!Total!!Margin of Error","Poinsett County, Arkansas!!Total!!Margin of Error","Polk County, Arkansas!!Total!!Margin of Error","Pope County, Arkansas!!Total!!Margin of Error","Prairie County, Arkansas!!Total!!Margin of Error","Pulaski County, Arkansas!!Total!!Margin of Error","Randolph County, Arkansas!!Total!!Margin of Error","St. Francis County, Arkansas!!Total!!Margin of Error","Saline County, Arkansas!!Total!!Margin of Error","Scott County, Arkansas!!Total!!Margin of Error","Searcy County, Arkansas!!Total!!Margin of Error","Sebastian County, Arkansas!!Total!!Margin of Error","Sevier County, Arkansas!!Total!!Margin of Error","Sharp County, Arkansas!!Total!!Margin of Error","Stone County, Arkansas!!Total!!Margin of Error","Union County, Arkansas!!Total!!Margin of Error","Van Buren County, Arkansas!!Total!!Margin of Error","Washington County, Arkansas!!Total!!Margin of Error","White County, Arkansas!!Total!!Margin of Error","Woodruff County, Arkansas!!Total!!Margin of Error","Yell County, Arkansas!!Total!!Margin of Error"
            18 to 64 years old,"±1,337",±18,±16,±82,±433,±94,±14,±17,±42,±46,±44,±21,±23,±9,±56,±34,±451,±136,±114,±8,±13,±19,±9,±301,±60,±61,±274,±28,±33,±13,±47,±127,±66,±64,±29,±164,±56,±11,±50,±37,±22,±11,±52,±95,±44,±41,±23,±43,±17,±17,±17,±8,±38,±27,±33,±4,±36,±35,±365,±17,±699,±18,±36,±224,±19,±17,±147,±15,±7,±53,±64,±16,±417,±150,±17,±30
            65 years old and over,±480,±19,±23,±43,±112,±57,±27,±44,±18,±30,±62,±19,±31,±17,±43,±19,±17,±40,±15,±13,±17,±19,±12,±64,±19,±19,±295,±19,±40,±32,±26,±19,±19,±33,±13,±32,±14,±17,±15,±6,±19,±10,±97,±60,±37,±41,±22,±27,±16,±17,±17,±8,±41,±19,±40,±5,±23,±49,±167,±17,±155,±57,±19,±55,±19,±17,±90,±19,±10,±16,±26,±24,±104,±43,±17,±30
        Asian and Pacific Island languages,"±1,615",±16,±16,±81,±733,±111,±19,±8,±151,±30,±52,±19,±67,±17,±64,±57,±272,±147,±73,±9,±17,±47,±9,±219,±19,±3,±292,±19,±61,±37,±45,±77,±81,±37,±21,±285,±199,±51,±5,±17,±19,±69,±76,±194,±10,±36,±124,±136,±12,±20,±17,±13,±14,±14,±19,±9,±2,±63,±257,±17,±723,±91,±91,±269,±93,±20,±372,±114,±10,±19,±87,±115,±808,±172,±17,±15
            5 to 17 years old,±676,±19,±23,±26,±236,±34,±19,±17,±124,±19,±5,±19,±23,±17,±19,±19,±160,±98,±23,±5,±17,±34,±19,±107,±5,±19,±45,±19,±26,±23,±26,±19,±9,±19,±8,±17,±70,±16,±19,±17,±19,±19,±32,±43,±23,±18,±12,±155,±17,±17,±17,±17,±23,±19,±19,±19,±23,±28,±147,±17,±202,±15,±23,±117,±19,±17,±168,±19,±19,±19,±48,±36,±457,±40,±17,±8
            18 to 64 years old,"±1,247",±16,±16,±81,±608,±70,±19,±8,±95,±30,±36,±19,±60,±17,±41,±41,±158,±110,±68,±7,±17,±30,±9,±162,±20,±19,±281,±19,±42,±37,±45,±77,±84,±32,±19,±130,±200,±44,±4,±17,±19,±69,±87,±179,±31,±35,±122,±81,±17,±20,±17,±17,±11,±14,±19,±9,±23,±45,±191,±17,±617,±90,±66,±219,±93,±20,±295,±112,±10,±19,±56,±82,±445,±179,±17,±15
            65 years old and over,±375,±19,±23,±26,±114,±55,±19,±17,±3,±19,±19,±19,±37,±17,±50,±23,±56,±72,±25,±19,±17,±19,±19,±77,±19,±3,±89,±19,±26,±23,±26,±19,±30,±18,±19,±228,±9,±17,±3,±17,±19,±19,±87,±29,±38,±19,±26,±8,±12,±17,±17,±13,±9,±19,±19,±19,±2,±19,±26,±17,±156,±19,±58,±91,±19,±17,±83,±21,±19,±19,±85,±19,±68,±28,±17,±8
        Other languages,±935,±31,±23,±26,±212,±43,±19,±17,±23,±15,±14,±19,±10,±17,±23,±23,±283,±29,±33,±296,±17,±27,±63,±344,±19,±10,±13,±19,±26,±23,±31,±19,±26,±3,±34,±107,±29,±17,±19,±17,±35,±19,±5,±114,±19,±19,±45,±3,±17,±17,±17,±15,±41,±19,±27,±22,±23,±19,±225,±11,±697,±19,±23,±46,±18,±43,±235,±47,±19,±19,±26,±21,±174,±100,±17,±23
            5 to 17 years old,±321,±19,±23,±26,±50,±26,±19,±17,±23,±19,±23,±19,±23,±17,±23,±23,±82,±29,±26,±100,±17,±19,±19,±29,±19,±5,±29,±19,±26,±23,±26,±19,±26,±19,±19,±64,±23,±17,±19,±17,±19,±19,±23,±29,±19,±19,±26,±26,±17,±17,±17,±17,±23,±19,±19,±19,±23,±19,±66,±17,±233,±19,±23,±29,±18,±17,±164,±19,±19,±19,±26,±19,±88,±24,±17,±23
            18 to 64 years old,±737,±31,±23,±26,±198,±21,±19,±17,±23,±15,±23,±19,±10,±17,±23,±23,±220,±29,±30,±203,±17,±14,±63,±344,±19,±6,±13,±19,±26,±23,±31,±19,±26,±3,±34,±71,±29,±17,±19,±17,±31,±19,±23,±114,±19,±19,±45,±26,±17,±17,±17,±17,±41,±19,±27,±22,±23,±19,±160,±17,±532,±19,±23,±43,±19,±43,±86,±42,±19,±19,±26,±21,±144,±86,±17,±23
            65 years old and over,±131,±19,±23,±26,±58,±48,±19,±17,±23,±19,±14,±19,±4,±17,±23,±23,±5,±29,±13,±19,±17,±13,±19,±29,±19,±19,±29,±19,±26,±23,±26,±19,±26,±19,±19,±16,±23,±17,±19,±17,±14,±19,±5,±29,±19,±19,±26,±3,±17,±17,±17,±15,±23,±19,±19,±19,±23,±19,±26,±11,±38,±19,±23,±14,±19,±3,±42,±16,±19,±19,±26,±19,±76,±29,±17,±23
CITIZENS 18 YEARS AND OVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    All citizens 18 years old and over,"±2,665",±68,±86,±121,"±1,022",±153,±135,±38,±296,±66,±93,±67,±112,±119,±140,±156,±385,±246,±140,±216,±15,±96,±64,±677,±144,±28,±513,±118,±93,±194,±141,±173,±230,±149,±136,±133,±288,±53,±93,±53,±56,±38,±70,±166,±100,±50,±198,±181,±13,±50,±3,±94,±84,±119,±83,±65,±61,±127,±388,±49,"±1,020",±105,±193,±355,±90,±61,±656,±179,±75,±78,±161,±139,±928,±263,±10,±278
        Speak only English,"±3,150",±83,±91,±304,"±1,138",±253,±118,±44,±204,±86,±118,±98,±141,±120,±174,±188,±534,±333,±178,±217,±37,±64,±141,±767,±165,±67,±640,±155,±189,±205,±216,±164,±243,±197,±195,±345,±230,±55,±94,±96,±91,±128,±157,±407,±155,±107,±226,±135,±76,±49,±17,±97,±140,±114,±115,±48,±94,±162,±516,±50,"±1,142",±136,±169,±408,±211,±75,±739,±167,±85,±91,±129,±167,±815,±349,±18,±173
        Speak a language other than English,"±2,441",±59,±69,±262,±818,±169,±161,±46,±283,±106,±92,±60,±119,±10,±169,±172,±468,±302,±107,±17,±31,±103,±122,±623,±78,±58,±388,±105,±143,±143,±189,±179,±245,±116,±126,±338,±303,±48,±82,±95,±73,±105,±146,±364,±130,±90,±131,±177,±75,±35,±17,±31,±105,±59,±99,±65,±56,±131,±431,±45,±927,±145,±196,±361,±177,±44,±791,±182,±52,±59,±173,±94,"±1,014",±370,±14,±263
            Spanish,"±2,075",±51,±71,±238,±743,±89,±156,±28,±284,±85,±72,±54,±100,±5,±123,±143,±318,±260,±67,±11,±30,±93,±107,±356,±51,±23,±313,±104,±128,±142,±186,±138,±231,±70,±116,±184,±236,±48,±54,±86,±71,±76,±91,±291,±106,±66,±120,±168,±68,±27,±17,±30,±74,±51,±75,±61,±55,±92,±222,±44,±649,±90,±169,±294,±170,±9,±716,±169,±51,±32,±136,±64,±927,±319,±14,±248
            Other languages,"±1,370",±36,±17,±102,±401,±130,±32,±44,±102,±60,±55,±20,±58,±9,±97,±56,±386,±122,±68,±13,±13,±29,±63,±394,±65,±61,±283,±3,±63,±47,±73,±127,±108,±77,±59,±292,±189,±32,±53,±37,±41,±71,±120,±194,±76,±47,±75,±100,±28,±20,±17,±17,±68,±27,±57,±20,±24,±74,±344,±11,±789,±104,±60,±227,±45,±43,±361,±116,±15,±55,±102,±76,±503,±156,±17,±54
