Label (Grouping),Arkansas!!Total!!Estimate,"Arkansas County, Arkansas!!Total!!Estimate","Ashley County, Arkansas!!Total!!Estimate","Baxter County, Arkansas!!Total!!Estimate","Benton County, Arkansas!!Total!!Estimate","Boone County, Arkansas!!Total!!Estimate","Bradley County, Arkansas!!Total!!Estimate","Calhoun County, Arkansas!!Total!!Estimate","Carroll County, Arkansas!!Total!!Estimate","Chicot County, Arkansas!!Total!!Estimate","Clark County, Arkansas!!Total!!Estimate","Clay County, Arkansas!!Total!!Estimate","Cleburne County, Arkansas!!Total!!Estimate","Cleveland County, Arkansas!!Total!!Estimate","Columbia County, Arkansas!!Total!!Estimate","Conway County, Arkansas!!Total!!Estimate","Craighead County, Arkansas!!Total!!Estimate","Crawford County, Arkansas!!Total!!Estimate","Crittenden County, Arkansas!!Total!!Estimate","Cross County, Arkansas!!Total!!Estimate","Dallas County, Arkansas!!Total!!Estimate","Desha County, Arkansas!!Total!!Estimate","Drew County, Arkansas!!Total!!Estimate","Faulkner County, Arkansas!!Total!!Estimate","Franklin County, Arkansas!!Total!!Estimate","Fulton County, Arkansas!!Total!!Estimate","Garland County, Arkansas!!Total!!Estimate","Grant County, Arkansas!!Total!!Estimate","Greene County, Arkansas!!Total!!Estimate","Hempstead County, Arkansas!!Total!!Estimate","Hot Spring County, Arkansas!!Total!!Estimate","Howard County, Arkansas!!Total!!Estimate","Independence County, Arkansas!!Total!!Estimate","Izard County, Arkansas!!Total!!Estimate","Jackson County, Arkansas!!Total!!Estimate","Jefferson County, Arkansas!!Total!!Estimate","Johnson County, Arkansas!!Total!!Estimate","Lafayette County, Arkansas!!Total!!Estimate","Lawrence County, Arkansas!!Total!!Estimate","Lee County, Arkansas!!Total!!Estimate","Lincoln County, Arkansas!!Total!!Estimate","Little River County, Arkansas!!Total!!Estimate","Logan County, Arkansas!!Total!!Estimate","Lonoke County, Arkansas!!Total!!Estimate","Madison County, Arkansas!!Total!!Estimate","Marion County, Arkansas!!Total!!Estimate","Miller County, Arkansas!!Total!!Estimate","Mississippi County, Arkansas!!Total!!Estimate","Monroe County, Arkansas!!Total!!Estimate","Montgomery County, Arkansas!!Total!!Estimate","Nevada County, Arkansas!!Total!!Estimate","Newton County, Arkansas!!Total!!Estimate","Ouachita County, Arkansas!!Total!!Estimate","Perry County, Arkansas!!Total!!Estimate","Phillips County, Arkansas!!Total!!Estimate","Pike County, Arkansas!!Total!!Estimate","Poinsett County, Arkansas!!Total!!Estimate","Polk County, Arkansas!!Total!!Estimate","Pope County, Arkansas!!Total!!Estimate","Prairie County, Arkansas!!Total!!Estimate","Pulaski County, Arkansas!!Total!!Estimate","Randolph County, Arkansas!!Total!!Estimate","St. Francis County, Arkansas!!Total!!Estimate","Saline County, Arkansas!!Total!!Estimate","Scott County, Arkansas!!Total!!Estimate","Searcy County, Arkansas!!Total!!Estimate","Sebastian County, Arkansas!!Total!!Estimate","Sevier County, Arkansas!!Total!!Estimate","Sharp County, Arkansas!!Total!!Estimate","Stone County, Arkansas!!Total!!Estimate","Union County, Arkansas!!Total!!Estimate","Van Buren County, Arkansas!!Total!!Estimate","Washington County, Arkansas!!Total!!Estimate","White County, Arkansas!!Total!!Estimate","Woodruff County, Arkansas!!Total!!Estimate","Yell County, Arkansas!!Total!!Estimate"
"        Some college, no degree","445,268","2,117","2,431","8,250","35,647","7,056","1,468",668,"4,599","1,509","3,197","2,138","4,016","1,184","2,982","2,618","14,180","9,281","7,498","2,270","1,154","1,351","2,472","16,949","2,868","2,463","19,333","3,037","6,473","2,851","6,212","2,044","5,630","2,347","2,537","10,753","3,035",811,"2,913","1,181","1,790","2,180","3,515","10,614","2,109","3,432","7,879","5,231",888,"1,801","1,142","1,449","4,057","1,746","3,001","1,707","3,226","3,637","8,129","1,419","60,242","2,953","4,529","19,709","1,445","1,160","20,474","1,992","3,289","2,000","5,736","2,492","28,474","8,594",723,"2,981"
        Associate's degree,"151,587","1,173",886,"3,262","11,233","2,422",541,385,"1,187",364,871,841,"1,429",395,613,"1,414","5,952","4,077","2,365",756,382,270,682,"5,729","1,085",634,"6,111",850,"1,809","1,375","1,917",780,"1,954",934,898,"2,752",783,279,680,398,517,625,"1,199","4,929",574,"1,050","1,915","2,238",269,505,486,382,"1,231",445,"1,163",526,720,"1,093","2,700",452,"20,420","1,370","1,592","7,765",494,462,"6,362",756,830,"1,049","2,361",895,"8,622","4,011",385,726
        Bachelor's degree,"308,648","1,331","1,241","3,773","41,516","2,976",761,212,"2,785",741,"2,154",751,"1,947",648,"1,894","1,955","11,739","5,516","3,613",937,456,804,"1,740","15,384","1,058",699,"10,938","1,809","3,541","1,461","2,417",900,"3,171","1,035",885,"5,489","1,837",528,"1,097",457,579,875,"1,267","6,962",835,"1,364","3,322","2,706",462,645,445,609,"1,452",956,"1,263",889,"1,341","1,370","6,779",655,"56,485","1,096","1,138","15,614",597,454,"12,853",907,874,871,"3,831","1,140","27,859","6,262",407,"1,288"
        Graduate or professional degree,"174,047",691,422,"1,916","20,519","1,705",279,192,"1,431",326,"1,127",674,"1,188",265,"1,098",626,"7,279","2,252","1,775",744,95,278,894,"9,438",316,482,"5,454",791,"1,701",842,"1,284",309,"1,494",469,538,"2,818","1,042",154,529,111,270,376,609,"3,075",550,679,"2,002","1,498",160,369,234,283,758,356,587,486,525,775,"3,299",247,"37,661",617,812,"7,610",271,171,"7,015",517,437,303,"1,797",798,"20,047","4,363",286,656
        High school graduate or higher,"1,766,362","10,629","11,586","28,449","160,716","23,191","6,268","3,168","17,142","5,697","11,592","8,740","16,219","5,142","12,678","12,614","62,777","36,039","25,853","9,317","4,368","6,185","10,087","71,210","10,483","7,580","64,264","11,531","27,007","12,061","21,109","7,541","21,569","8,481","10,124","40,354","13,928","3,836","9,436","5,113","7,910","7,860","13,296","43,886","9,672","10,909","25,369","22,128","3,894","5,596","5,116","4,833","14,160","6,574","9,740","6,387","13,068","11,943","34,778","5,079","244,406","10,502","14,604","76,720","5,707","4,614","71,913","8,043","10,471","7,389","22,928","10,380","123,268","43,929","3,791","11,415"
        Bachelor's degree or higher,"482,695","2,022","1,663","5,689","62,035","4,681","1,040",404,"4,216","1,067","3,281","1,425","3,135",913,"2,992","2,581","19,018","7,768","5,388","1,681",551,"1,082","2,634","24,822","1,374","1,181","16,392","2,600","5,242","2,303","3,701","1,209","4,665","1,504","1,423","8,307","2,879",682,"1,626",568,849,"1,251","1,876","10,037","1,385","2,043","5,324","4,204",622,"1,014",679,892,"2,210","1,312","1,850","1,375","1,866","2,145","10,078",902,"94,146","1,713","1,950","23,224",868,625,"19,868","1,424","1,311","1,174","5,628","1,938","47,906","10,625",693,"1,944"
    Population 25 to 34 years,"394,792","2,060","1,885","3,900","40,518","4,451","1,226",612,"2,970","1,173","2,399","1,695","2,474",891,"2,597","2,411","16,705","8,068","6,445","1,994",800,"1,246","2,176","17,995","1,930","1,105","11,178","2,240","6,130","2,187","4,568","1,316","4,406","1,524","2,423","8,699","3,045",611,"1,939","1,239","2,348","1,238","2,528","10,402","2,144","1,493","5,790","5,555",752,849,771,680,"2,553","1,125","1,991","1,112","2,920","2,053","8,598",882,"58,144","2,276","3,866","15,508","1,250",702,"16,970","2,105","1,618","1,157","4,632","1,542","35,466","9,588",580,"2,373"
        High school graduate or higher,"357,380","1,851","1,597","3,425","37,231","4,125","1,118",535,"2,509",900,"2,169","1,606","2,214",882,"2,376","2,343","15,407","7,218","5,715","1,752",725,"1,047","1,957","17,215","1,898","1,006","10,152","2,127","5,484","2,032","4,140","1,197","3,921","1,274","2,148","7,722","2,545",530,"1,817","1,023","1,806","1,173","2,343","9,589","1,930","1,351","5,121","5,032",589,735,613,609,"2,243","1,081","1,804","1,086","2,453","1,979","7,742",806,"53,617","2,083","3,048","14,611","1,063",616,"15,089","1,726","1,391",947,"4,216","1,351","31,722","8,390",509,"1,983"
        Bachelor's degree or higher,"104,782",491,198,812,"16,045",745,87,55,382,77,619,264,247,137,728,398,"4,911","1,651","1,235",359,65,177,524,"6,153",213,102,"2,150",425,"1,248",424,609,245,669,141,277,"1,216",616,52,372,155,99,218,392,"2,364",194,209,956,579,164,11,41,101,372,225,411,248,444,341,"2,318",250,"20,813",304,330,"5,133",144,37,"4,726",243,113,199,"1,067",160,"13,776","2,215",56,255
    Population 35 to 44 years,"371,371","2,124","2,293","3,973","39,134","4,172","1,628",575,"2,913","1,071","2,052","1,728","2,683",929,"2,529","2,331","14,242","7,536","5,749","2,053",645,"1,352","1,880","15,636","2,042","1,210","11,122","2,255","5,659","2,607","4,170","1,890","4,491","1,384","2,360","8,017","3,220",699,"1,869","1,230","2,055","1,691","2,487","10,017","1,749","1,503","5,400","5,047",730,846,876,725,"2,364","1,331","1,916","1,291","2,694","2,190","7,164",819,"50,292","2,049","3,665","16,657","1,050",781,"15,634","1,987","1,788","1,251","4,541","1,650","31,032","9,080",680,"2,886"
