Label (Grouping),Arkansas!!Male!!Estimate,"Arkansas County, Arkansas!!Male!!Estimate","Ashley County, Arkansas!!Male!!Estimate","Baxter County, Arkansas!!Male!!Estimate","Benton County, Arkansas!!Male!!Estimate","Boone County, Arkansas!!Male!!Estimate","Bradley County, Arkansas!!Male!!Estimate","Calhoun County, Arkansas!!Male!!Estimate","Carroll County, Arkansas!!Male!!Estimate","Chicot County, Arkansas!!Male!!Estimate","Clark County, Arkansas!!Male!!Estimate","Clay County, Arkansas!!Male!!Estimate","Cleburne County, Arkansas!!Male!!Estimate","Cleveland County, Arkansas!!Male!!Estimate","Columbia County, Arkansas!!Male!!Estimate","Conway County, Arkansas!!Male!!Estimate","Craighead County, Arkansas!!Male!!Estimate","Crawford County, Arkansas!!Male!!Estimate","Crittenden County, Arkansas!!Male!!Estimate","Cross County, Arkansas!!Male!!Estimate","Dallas County, Arkansas!!Male!!Estimate","Desha County, Arkansas!!Male!!Estimate","Drew County, Arkansas!!Male!!Estimate","Faulkner County, Arkansas!!Male!!Estimate","Franklin County, Arkansas!!Male!!Estimate","Fulton County, Arkansas!!Male!!Estimate","Garland County, Arkansas!!Male!!Estimate","Grant County, Arkansas!!Male!!Estimate","Greene County, Arkansas!!Male!!Estimate","Hempstead County, Arkansas!!Male!!Estimate","Hot Spring County, Arkansas!!Male!!Estimate","Howard County, Arkansas!!Male!!Estimate","Independence County, Arkansas!!Male!!Estimate","Izard County, Arkansas!!Male!!Estimate","Jackson County, Arkansas!!Male!!Estimate","Jefferson County, Arkansas!!Male!!Estimate","Johnson County, Arkansas!!Male!!Estimate","Lafayette County, Arkansas!!Male!!Estimate","Lawrence County, Arkansas!!Male!!Estimate","Lee County, Arkansas!!Male!!Estimate","Lincoln County, Arkansas!!Male!!Estimate","Little River County, Arkansas!!Male!!Estimate","Logan County, Arkansas!!Male!!Estimate","Lonoke County, Arkansas!!Male!!Estimate","Madison County, Arkansas!!Male!!Estimate","Marion County, Arkansas!!Male!!Estimate","Miller County, Arkansas!!Male!!Estimate","Mississippi County, Arkansas!!Male!!Estimate","Monroe County, Arkansas!!Male!!Estimate","Montgomery County, Arkansas!!Male!!Estimate","Nevada County, Arkansas!!Male!!Estimate","Newton County, Arkansas!!Male!!Estimate","Ouachita County, Arkansas!!Male!!Estimate","Perry County, Arkansas!!Male!!Estimate","Phillips County, Arkansas!!Male!!Estimate","Pike County, Arkansas!!Male!!Estimate","Poinsett County, Arkansas!!Male!!Estimate","Polk County, Arkansas!!Male!!Estimate","Pope County, Arkansas!!Male!!Estimate","Prairie County, Arkansas!!Male!!Estimate","Pulaski County, Arkansas!!Male!!Estimate","Randolph County, Arkansas!!Male!!Estimate","St. Francis County, Arkansas!!Male!!Estimate","Saline County, Arkansas!!Male!!Estimate","Scott County, Arkansas!!Male!!Estimate","Searcy County, Arkansas!!Male!!Estimate","Sebastian County, Arkansas!!Male!!Estimate","Sevier County, Arkansas!!Male!!Estimate","Sharp County, Arkansas!!Male!!Estimate","Stone County, Arkansas!!Male!!Estimate","Union County, Arkansas!!Male!!Estimate","Van Buren County, Arkansas!!Male!!Estimate","Washington County, Arkansas!!Male!!Estimate","White County, Arkansas!!Male!!Estimate","Woodruff County, Arkansas!!Male!!Estimate","Yell County, Arkansas!!Male!!Estimate"
"        Some college, no degree","207,010",854,"1,181","3,777","16,814","3,099",688,353,"2,229",751,"1,647","1,015","1,808",628,"1,167","1,022","6,783","4,326","3,018",957,535,534,"1,077","7,924","1,317","1,153","8,512","1,415","2,539","1,079","2,934","1,004","2,712","1,212","1,047","5,439","1,591",317,"1,487",710,931,895,"1,783","5,030","1,091","1,555","3,689","2,606",283,842,542,809,"1,701",827,"1,526",808,"1,629","1,729","3,921",661,"26,625","1,407","2,511","9,319",505,524,"9,986",853,"1,410",979,"2,620","1,301","13,914","3,958",199,"1,386"
        Associate's degree,"57,195",493,253,"1,316","4,469",686,202,107,452,118,291,252,516,152,307,490,"1,855","1,556",951,199,188,97,219,"2,635",500,211,"2,480",323,770,495,857,340,647,330,405,996,237,118,208,140,256,77,317,"2,221",215,306,706,892,66,140,56,78,310,188,213,108,167,516,"1,324",200,"8,040",402,619,"3,030",146,207,"2,408",138,302,340,714,284,"3,267","1,729",171,181
        Bachelor's degree,"142,105",620,425,"1,938","21,094","1,301",293,101,"1,382",274,808,334,911,272,992,863,"5,346","2,919","1,486",368,193,288,761,"6,891",504,305,"5,332",898,"1,306",600,"1,122",393,"1,326",493,457,"2,039",915,241,417,200,176,330,526,"2,878",268,612,"1,446",971,188,303,130,262,675,550,496,442,569,533,"3,020",189,"26,318",408,558,"7,425",234,185,"5,412",506,345,432,"1,707",430,"13,405","2,822",238,708
        Graduate or professional degree,"78,199",262,83,873,"11,379",758,86,71,626,150,567,301,610,79,290,241,"3,002","1,023",767,215,20,81,322,"4,031",120,182,"2,511",260,629,345,565,129,649,242,221,859,416,59,178,34,72,186,269,"1,330",219,368,918,536,54,76,90,111,382,185,159,190,110,327,"1,365",51,"16,467",263,373,"3,033",141,71,"3,558",198,187,143,750,335,"10,095","1,878",156,317
        High school graduate or higher,"837,601","4,896","5,436","13,171","78,548","10,869","2,899","1,526","8,129","2,648","5,340","4,192","7,703","2,464","5,775","6,023","29,696","16,992","11,576","4,098","2,065","2,703","4,606","33,925","4,954","3,557","29,753","5,523","12,494","5,493","10,749","3,511","10,218","4,339","4,908","19,068","6,599","1,832","4,456","2,931","4,941","3,579","6,427","20,954","4,852","5,129","11,993","10,351","1,752","2,508","2,304","2,492","6,482","3,424","4,421","3,083","6,208","5,639","16,626","2,265","112,130","5,023","8,006","36,508","2,745","2,361","34,006","3,839","4,760","3,527","10,594","4,919","60,100","20,687","1,768","5,533"
        Bachelor's degree or higher,"220,304",882,508,"2,811","32,473","2,059",379,172,"2,008",424,"1,375",635,"1,521",351,"1,282","1,104","8,348","3,942","2,253",583,213,369,"1,083","10,922",624,487,"7,843","1,158","1,935",945,"1,687",522,"1,975",735,678,"2,898","1,331",300,595,234,248,516,795,"4,208",487,980,"2,364","1,507",242,379,220,373,"1,057",735,655,632,679,860,"4,385",240,"42,785",671,931,"10,458",375,256,"8,970",704,532,575,"2,457",765,"23,500","4,700",394,"1,025"
    Population 25 to 34 years,"198,155",973,865,"1,964","20,615","2,233",612,284,"1,445",714,"1,269",830,"1,291",447,"1,246","1,128","8,280","4,122","3,018",862,431,509,984,"8,959",925,553,"5,443","1,129","2,943","1,064","2,550",699,"2,186",957,"1,325","4,563","1,490",330,985,971,"1,862",620,"1,246","5,118","1,222",778,"2,910","2,850",269,427,248,337,"1,202",588,934,562,"1,453","1,049","4,223",434,"27,877","1,233","2,526","7,550",662,423,"8,516","1,094",789,572,"2,272",773,"18,277","4,584",267,"1,214"
        High school graduate or higher,"177,147",865,800,"1,692","18,927","2,072",542,253,"1,235",488,"1,109",782,"1,110",444,"1,189","1,096","7,451","3,477","2,541",771,394,394,886,"8,430",913,530,"4,741","1,070","2,651","1,010","2,265",632,"1,940",759,"1,243","3,961","1,215",294,913,796,"1,399",587,"1,169","4,647","1,107",696,"2,521","2,526",237,367,192,337,"1,148",573,912,546,"1,295","1,024","3,696",393,"25,364","1,099","1,858","7,078",524,412,"7,491",874,639,511,"1,985",673,"16,313","3,819",250,"1,004"
        Bachelor's degree or higher,"45,730",186,37,296,"8,327",266,36,13,210,15,269,89,61,39,275,170,"2,044",694,463,75,29,63,271,"2,661",43,69,"1,056",136,392,185,247,91,296,26,112,517,235,32,143,107,43,95,166,975,13,79,375,149,63,0,18,22,144,111,127,107,155,137,943,66,"9,129",111,159,"2,052",37,0,"1,894",143,17,110,383,43,"6,662",790,23,113
    Population 35 to 44 years,"184,136",999,"1,061","1,898","19,946","2,081",763,242,"1,463",544,862,938,"1,315",427,"1,106","1,149","6,984","3,768","2,675","1,027",303,666,998,"7,744","1,028",603,"5,267","1,144","2,832","1,064","2,204",814,"2,219",761,"1,139","4,095","1,760",350,934,920,"1,548",781,"1,272","4,794",928,733,"2,651","2,374",364,419,457,364,"1,045",762,902,634,"1,328","1,084","3,645",380,"23,912","1,068","2,416","7,994",523,381,"7,818",964,870,668,"2,186",801,"15,691","4,498",286,"1,502"
        High school graduate or higher,"160,872",945,948,"1,645","17,841","1,832",687,235,"1,069",423,802,853,"1,102",319,920,974,"6,430","3,336","2,332",702,255,596,925,"7,410","1,028",535,"4,640","1,036","2,506",823,"1,870",685,"2,028",623,"1,034","3,443","1,247",324,847,803,"1,260",726,"1,134","4,352",793,685,"2,433","2,082",300,266,426,357,967,715,820,557,"1,123",868,"2,920",320,"21,675",953,"1,940","7,340",480,378,"6,241",706,594,520,"1,814",553,"13,095","3,990",256,"1,180"
        Bachelor's degree or higher,"44,684",112,134,519,"7,563",197,51,8,146,92,201,135,183,50,245,146,"2,053",674,497,107,69,69,321,"2,636",247,68,913,256,380,188,331,168,512,74,106,432,253,44,105,23,28,126,123,812,95,180,439,324,18,43,0,0,129,257,152,148,133,86,788,22,"8,745",156,239,"2,047",89,74,"1,868",51,93,98,460,82,"5,484",728,42,217
