Label (Grouping),Arkansas!!Percent limited English-speaking households!!Margin of Error,"Arkansas County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Ashley County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Baxter County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Benton County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Boone County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Bradley County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Calhoun County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Carroll County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Chicot County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Clark County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Clay County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Cleburne County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Cleveland County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Columbia County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Conway County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Craighead County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Crawford County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Crittenden County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Cross County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Dallas County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Desha County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Drew County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Faulkner County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Franklin County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Fulton County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Garland County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Grant County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Greene County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Hempstead County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Hot Spring County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Howard County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Independence County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Izard County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Jackson County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Jefferson County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Johnson County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Lafayette County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Lawrence County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Lee County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Lincoln County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Little River County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Logan County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Lonoke County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Madison County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Marion County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Miller County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Mississippi County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Monroe County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Montgomery County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Nevada County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Newton County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Ouachita County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Perry County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Phillips County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Pike County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Poinsett County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Polk County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Pope County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Prairie County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Pulaski County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Randolph County, Arkansas!!Percent limited English-speaking households!!Margin of Error","St. Francis County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Saline County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Scott County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Searcy County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Sebastian County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Sevier County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Sharp County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Stone County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Union County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Van Buren County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Washington County, Arkansas!!Percent limited English-speaking households!!Margin of Error","White County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Woodruff County, Arkansas!!Percent limited English-speaking households!!Margin of Error","Yell County, Arkansas!!Percent limited English-speaking households!!Margin of Error"
All households,±0.1,±0.5,±0.7,±0.1,±0.4,±0.1,±0.9,±2.0,±1.0,±0.3,±0.6,±0.5,±0.1,±0.2,±0.8,±0.4,±0.4,±0.5,±0.4,±0.1,±1.2,±1.1,±0.5,±0.2,±0.5,±0.4,±0.5,±0.1,±0.2,±1.0,±0.8,±1.4,±0.6,±0.7,±0.6,±0.3,±1.0,±0.6,±0.1,±1.0,±0.4,±0.3,±0.6,±0.3,±0.5,±0.3,±0.3,±0.4,±0.1,±1.0,±1.1,±0.4,±0.2,±0.9,±0.5,±0.2,±0.6,±0.4,±1.2,±0.9,±0.3,±0.7,±2.4,±0.7,±3.0,±1.1,±0.6,±2.8,±0.5,±0.7,±0.4,±0.5,±0.6,±0.4,±1.2,±1.1
    Households speaking --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Spanish,±1.8,±25.2,±20.5,±3.4,±3.3,±1.3,±8.8,±42.7,±13.5,±21.5,±16.6,±39.4,±10.5,±46.9,±30.6,±10.2,±6.5,±8.3,±11.2,±30.1,±48.1,±25.0,±19.0,±6.0,±31.4,±39.7,±8.0,±6.5,±7.8,±12.5,±16.1,±14.9,±10.3,±35.2,±61.6,±8.5,±11.0,±24.4,±34.6,±44.9,±7.1,±24.5,±10.0,±6.4,±13.4,±26.9,±13.0,±12.6,±47.5,±33.3,±79.5,±67.2,±22.7,±45.9,±48.1,±3.4,±25.8,±7.7,±17.4,±64.2,±6.1,±23.6,±30.9,±16.2,±29.7,±100.0,±4.5,±11.1,±31.6,±57.1,±12.2,±33.7,±4.7,±7.5,±85.4,±7.8
        Other Indo-European languages,±2.1,±74.6,±97.3,±11.2,±14.0,±4.0,±56.2,±45.4,±15.7,±15.7,±35.8,±88.8,±42.7,±50.0,±35.5,±10.7,±20.9,±16.6,±19.5,±85.4,±100.0,**,±82.3,±2.1,±48.1,±92.8,±8.2,±54.4,±2.5,±37.7,±40.1,±38.5,±20.8,±22.3,±59.2,±3.8,±9.7,±100.0,±38.8,±100.0,±100.0,±70.6,±30.3,±18.1,±42.3,±2.7,±48.7,±17.2,±65.6,**,**,±97.3,±26.1,±74.6,±49.9,±100.0,±47.5,±29.9,±7.4,**,±3.8,±43.1,±34.0,±8.0,**,**,±6.7,**,±61.6,±44.9,±40.1,±59.2,±8.2,±11.9,**,±26.0
        Asian and Pacific Island languages,±3.0,±97.3,±62.5,±47.5,±5.8,±34.0,**,±100.0,±26.6,±39.9,±21.2,**,±19.5,**,±63.0,±49.9,±23.2,±19.7,±23.2,±48.2,**,±44.9,±100.0,±6.6,±65.6,±100.0,±19.4,**,±34.8,±28.1,±10.1,±48.9,±29.6,±55.3,±100.0,±33.3,±48.7,±88.8,±66.7,**,**,±57.1,±26.1,±6.7,±31.6,±64.0,±24.5,±12.5,±100.0,±75.0,**,±100.0,±20.2,±100.0,**,±100.0,**,±6.2,±16.6,**,±8.2,±25.5,±43.5,±16.3,±45.4,±100.0,±12.2,±30.6,±100.0,**,±27.7,±37.9,±5.9,±14.9,**,±29.7
        Other languages,±2.8,±100.0,**,**,±4.8,±47.5,**,**,**,**,±100.0,**,±100.0,**,**,**,±26.7,**,±35.1,±30.9,**,±100.0,±72.5,±14.3,**,±100.0,**,**,**,**,±59.2,**,**,±100.0,±61.6,±34.3,±74.6,**,**,**,**,**,±100.0,±32.9,**,**,±55.6,±100.0,**,**,**,±85.4,±62.8,**,±62.8,±100.0,**,**,±39.1,±100.0,±5.6,**,**,±22.8,±79.5,±64.2,±10.4,±40.8,**,**,**,±100.0,±2.7,±31.9,**,**
