Label (Grouping),Arkansas!!Female!!Estimate,"Arkansas County, Arkansas!!Female!!Estimate","Ashley County, Arkansas!!Female!!Estimate","Baxter County, Arkansas!!Female!!Estimate","Benton County, Arkansas!!Female!!Estimate","Boone County, Arkansas!!Female!!Estimate","Bradley County, Arkansas!!Female!!Estimate","Calhoun County, Arkansas!!Female!!Estimate","Carroll County, Arkansas!!Female!!Estimate","Chicot County, Arkansas!!Female!!Estimate","Clark County, Arkansas!!Female!!Estimate","Clay County, Arkansas!!Female!!Estimate","Cleburne County, Arkansas!!Female!!Estimate","Cleveland County, Arkansas!!Female!!Estimate","Columbia County, Arkansas!!Female!!Estimate","Conway County, Arkansas!!Female!!Estimate","Craighead County, Arkansas!!Female!!Estimate","Crawford County, Arkansas!!Female!!Estimate","Crittenden County, Arkansas!!Female!!Estimate","Cross County, Arkansas!!Female!!Estimate","Dallas County, Arkansas!!Female!!Estimate","Desha County, Arkansas!!Female!!Estimate","Drew County, Arkansas!!Female!!Estimate","Faulkner County, Arkansas!!Female!!Estimate","Franklin County, Arkansas!!Female!!Estimate","Fulton County, Arkansas!!Female!!Estimate","Garland County, Arkansas!!Female!!Estimate","Grant County, Arkansas!!Female!!Estimate","Greene County, Arkansas!!Female!!Estimate","Hempstead County, Arkansas!!Female!!Estimate","Hot Spring County, Arkansas!!Female!!Estimate","Howard County, Arkansas!!Female!!Estimate","Independence County, Arkansas!!Female!!Estimate","Izard County, Arkansas!!Female!!Estimate","Jackson County, Arkansas!!Female!!Estimate","Jefferson County, Arkansas!!Female!!Estimate","Johnson County, Arkansas!!Female!!Estimate","Lafayette County, Arkansas!!Female!!Estimate","Lawrence County, Arkansas!!Female!!Estimate","Lee County, Arkansas!!Female!!Estimate","Lincoln County, Arkansas!!Female!!Estimate","Little River County, Arkansas!!Female!!Estimate","Logan County, Arkansas!!Female!!Estimate","Lonoke County, Arkansas!!Female!!Estimate","Madison County, Arkansas!!Female!!Estimate","Marion County, Arkansas!!Female!!Estimate","Miller County, Arkansas!!Female!!Estimate","Mississippi County, Arkansas!!Female!!Estimate","Monroe County, Arkansas!!Female!!Estimate","Montgomery County, Arkansas!!Female!!Estimate","Nevada County, Arkansas!!Female!!Estimate","Newton County, Arkansas!!Female!!Estimate","Ouachita County, Arkansas!!Female!!Estimate","Perry County, Arkansas!!Female!!Estimate","Phillips County, Arkansas!!Female!!Estimate","Pike County, Arkansas!!Female!!Estimate","Poinsett County, Arkansas!!Female!!Estimate","Polk County, Arkansas!!Female!!Estimate","Pope County, Arkansas!!Female!!Estimate","Prairie County, Arkansas!!Female!!Estimate","Pulaski County, Arkansas!!Female!!Estimate","Randolph County, Arkansas!!Female!!Estimate","St. Francis County, Arkansas!!Female!!Estimate","Saline County, Arkansas!!Female!!Estimate","Scott County, Arkansas!!Female!!Estimate","Searcy County, Arkansas!!Female!!Estimate","Sebastian County, Arkansas!!Female!!Estimate","Sevier County, Arkansas!!Female!!Estimate","Sharp County, Arkansas!!Female!!Estimate","Stone County, Arkansas!!Female!!Estimate","Union County, Arkansas!!Female!!Estimate","Van Buren County, Arkansas!!Female!!Estimate","Washington County, Arkansas!!Female!!Estimate","White County, Arkansas!!Female!!Estimate","Woodruff County, Arkansas!!Female!!Estimate","Yell County, Arkansas!!Female!!Estimate"
        High school graduate or higher,"739,971","4,297","4,636","14,606","70,463","11,971","2,237","1,236","8,277","1,438","4,432","4,467","8,252","2,270","4,417","5,771","27,504","17,304","7,021","3,969","1,336","1,937","4,010","31,267","5,166","3,854","30,960","5,680","13,922","4,249","9,138","2,979","10,719","3,966","4,195","9,203","6,949","1,326","4,776",980,"2,365","3,223","6,268","20,668","4,583","5,592","9,618","7,509","1,268","2,873","1,984","2,247","4,647","3,019","2,145","3,082","6,185","5,867","16,823","2,461","78,707","5,242","3,076","35,858","2,696","2,153","30,647","3,222","5,409","3,608","8,357","5,249","53,774","21,741","1,499","5,126"
        Bachelor's degree or higher,"215,192","1,018",964,"2,774","24,751","2,582",566,198,"2,094",407,"1,493",786,"1,606",502,"1,512","1,314","9,303","3,603","1,894",770,248,509,"1,105","11,708",705,692,"7,909","1,393","3,243","1,066","1,855",531,"2,472",748,688,"1,903","1,455",282,"1,020",198,466,641,953,"5,360",857,"1,011","2,507","1,994",271,598,357,503,686,574,704,742,"1,092","1,157","5,147",622,"34,666","1,023",480,"11,140",432,369,"8,543",665,766,538,"2,450","1,160","22,138","5,602",247,864
"    White alone, not Hispanic or Latino","795,723","4,633","5,145","15,893","69,602","12,898","2,325","1,425","8,536","1,554","4,840","5,203","9,144","2,516","4,675","6,309","29,924","19,129","7,550","4,453","1,469","2,018","4,284","33,110","5,919","4,445","32,836","6,156","14,863","4,554","10,095","3,187","12,008","4,664","4,935","9,886","7,543","1,547","5,525","1,150","2,687","3,452","7,195","22,130","5,146","6,129","10,953","8,663","1,563","3,154","2,049","2,689","5,080","3,484","2,392","3,458","7,525","6,550","18,565","2,654","80,793","6,045","3,416","37,634","3,160","2,552","33,462","3,622","6,064","4,502","8,864","5,964","55,955","24,478","1,726","6,020"
        High school graduate or higher,"721,728","4,241","4,571","14,418","65,554","11,728","2,137","1,206","7,844","1,382","4,349","4,433","8,175","2,270","4,326","5,518","27,077","16,799","6,953","3,923","1,336","1,826","3,976","30,746","5,097","3,854","30,388","5,652","13,723","4,184","8,994","2,930","10,590","3,933","4,174","9,108","6,600","1,315","4,724",975,"2,345","3,199","6,227","20,199","4,471","5,470","9,598","7,367","1,268","2,861","1,984","2,247","4,586","3,019","2,127","3,061","6,108","5,814","16,347","2,416","76,423","5,242","3,062","35,334","2,686","2,153","30,092","3,118","5,321","3,570","8,210","5,166","51,624","21,435","1,495","5,054"
        Bachelor's degree or higher,"211,028",978,926,"2,725","23,795","2,521",560,198,"2,041",374,"1,469",786,"1,584",502,"1,459","1,304","9,107","3,529","1,880",770,248,509,"1,105","11,579",705,692,"7,828","1,388","3,194","1,052","1,855",488,"2,444",748,688,"1,884","1,428",282,"1,020",198,466,641,942,"5,226",857,990,"2,493","1,979",271,598,357,503,625,574,704,742,"1,092","1,157","5,040",600,"34,146","1,023",479,"11,031",432,369,"8,395",656,727,538,"2,439","1,106","21,404","5,492",247,844
    Black alone,"153,280","1,557","1,794",27,"1,232",44,"1,199",460,148,"1,966","1,803",12,37,425,"2,858",864,"4,887",270,"7,669","1,124","1,104","1,938","1,758","4,403",5,2,"2,612",198,264,"2,351","1,178",920,131,8,676,"12,726",118,876,46,"1,551",670,875,84,"1,575",8,27,"3,696","4,814","1,055",18,986,3,"3,735",36,"4,068",168,229,10,289,375,"51,189",44,"4,135","2,997",0,8,"2,713",253,51,0,"4,505",17,"1,569","1,033",683,121
        High school graduate or higher,"131,109","1,257","1,406",17,"1,116",44,"1,025",361,148,"1,583","1,597",0,37,383,"2,287",662,"4,236",170,"6,166",870,922,"1,498","1,414","4,183",4,2,"2,251",127,210,"2,045",961,814,126,8,553,"11,128",76,637,37,"1,180",512,800,73,"1,289",8,27,"3,058","3,945",786,13,781,3,"2,975",36,"3,126",127,189,8,278,317,"45,929",44,"3,297","2,690",0,4,"2,373",232,48,0,"3,615",16,"1,448",932,489,100
        Bachelor's degree or higher,"29,916",85,173,0,520,0,95,34,11,216,320,0,1,60,162,102,646,0,"1,027",280,86,188,438,"1,350",0,2,292,22,0,209,138,129,100,0,30,"3,111",5,87,0,136,124,64,7,254,0,0,315,674,83,8,94,3,426,3,478,1,22,0,32,18,"13,797",9,504,"1,149",0,0,538,6,0,0,608,0,407,193,44,0
    American Indian or Alaska Native alone,"6,843",102,2,107,"1,156",100,83,0,193,0,40,10,42,0,0,27,72,358,61,0,0,18,0,187,184,60,373,4,96,89,42,28,82,10,15,81,0,9,8,13,12,47,59,152,34,149,171,0,33,65,8,19,0,0,0,11,6,92,136,10,367,15,27,144,8,53,500,169,20,23,103,122,458,125,0,53
        High school graduate or higher,"5,899",102,2,107,"1,101",94,83,0,191,0,29,10,36,0,0,20,63,344,33,0,0,5,0,132,183,60,241,4,83,89,42,28,48,10,0,80,0,0,8,13,0,45,59,132,26,41,134,0,33,56,8,3,0,0,0,11,6,84,136,10,361,15,27,144,8,53,336,162,5,23,103,88,430,73,0,46
        Bachelor's degree or higher,850,0,0,1,218,0,0,0,36,0,0,3,0,0,0,13,0,57,7,0,0,5,0,0,0,0,0,4,5,71,0,0,0,0,0,0,0,0,4,0,0,0,18,56,0,0,9,0,14,11,8,0,0,0,0,0,3,0,22,10,38,0,0,0,0,0,109,0,0,0,44,7,77,0,0,0
    Asian alone,"16,337",10,31,115,"3,314",94,7,0,123,9,67,4,67,0,54,39,361,334,166,0,0,11,0,523,9,16,435,0,44,18,45,70,168,0,9,247,134,20,5,6,0,28,124,400,33,65,113,68,15,10,0,8,10,6,0,9,3,13,296,0,"3,338",6,35,592,29,0,"2,124",35,3,60,148,16,"1,918",147,0,130
        High school graduate or higher,"13,859",10,31,100,"2,813",90,7,0,121,9,62,4,67,0,45,33,338,288,139,0,0,11,0,425,7,15,353,0,44,15,45,25,87,0,9,213,116,20,5,6,0,28,88,343,32,52,113,68,15,10,0,0,9,6,0,9,3,0,234,0,"2,935",4,35,495,29,0,"1,768",35,3,60,141,16,"1,535",147,0,93
        Bachelor's degree or higher,"7,393",10,7,32,"2,246",39,0,0,53,9,26,0,0,0,6,33,207,32,67,0,0,11,0,309,3,0,219,0,36,12,6,25,29,0,0,35,7,11,4,0,0,0,36,43,0,17,65,17,0,0,0,0,0,0,0,0,1,0,42,0,"1,697",0,35,267,0,0,736,0,0,60,10,4,805,56,0,28
    Native Hawaiian and Other Pacific Islander alone,"2,417",0,0,0,384,0,0,15,57,0,0,0,0,0,0,0,0,12,0,0,5,0,0,0,34,26,38,29,0,13,0,0,0,0,2,274,0,0,1,0,0,0,0,17,21,0,12,24,0,0,1,0,0,0,0,0,0,1,0,0,66,19,0,13,0,0,0,14,0,0,0,14,"1,325",0,0,0
        High school graduate or higher,"1,441",0,0,0,232,0,0,15,0,0,0,0,0,0,0,0,0,12,0,0,5,0,0,0,22,26,38,29,0,13,0,0,0,0,2,274,0,0,1,0,0,0,0,17,9,0,12,24,0,0,1,0,0,0,0,0,0,1,0,0,18,7,0,13,0,0,0,14,0,0,0,14,642,0,0,0
        Bachelor's degree or higher,362,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Some other race alone,"20,466",58,85,137,"2,200",78,17,1,168,9,113,23,2,0,106,0,399,514,19,1,0,71,138,473,20,0,383,23,96,513,50,291,279,18,0,136,92,20,8,3,39,154,97,170,61,0,196,112,7,71,0,0,23,24,9,106,77,246,391,0,"1,979",10,109,375,86,0,"2,892",970,20,9,59,27,"4,673",78,0,852
        High school graduate or higher,"11,354",47,45,98,"1,665",11,17,1,77,0,69,0,0,0,90,0,278,340,5,1,0,1,17,420,20,0,260,23,87,43,45,146,138,18,0,136,16,6,0,3,20,134,97,95,41,0,189,63,7,53,0,0,23,24,9,36,36,143,149,0,"1,403",10,101,305,5,0,"1,266",427,15,9,30,15,"2,066",37,0,423
        Bachelor's degree or higher,"1,840",14,9,42,313,0,0,0,12,0,36,0,0,0,30,0,134,46,0,0,0,0,0,60,0,0,16,23,9,0,0,0,19,0,0,33,0,0,0,0,0,0,0,21,41,0,28,12,0,0,0,0,23,0,0,0,36,72,15,0,188,10,0,23,0,0,279,20,8,1,23,0,220,21,0,3
    Two or more races,"29,412",164,30,380,"5,435",258,0,29,215,60,64,91,124,48,64,148,819,625,"1,104",454,40,38,40,914,131,117,669,145,296,115,131,56,274,143,540,255,358,39,156,7,72,60,285,419,121,74,261,177,33,105,38,88,29,65,39,39,587,255,579,26,"3,124",181,87,"1,007",285,135,"1,692",116,237,162,93,82,"3,835",319,35,94
        High school graduate or higher,"25,128",20,30,350,"4,778",112,0,29,199,19,63,67,124,25,64,105,662,589,913,379,40,30,40,858,127,66,408,145,167,114,129,38,233,140,457,252,172,15,153,0,72,51,284,388,121,68,252,168,33,83,38,88,24,65,39,39,441,201,532,26,"2,923",157,62,707,224,43,"1,517",112,231,162,88,63,"3,273",312,35,94
        Bachelor's degree or higher,"6,838",13,2,29,"1,422",1,0,0,2,11,31,1,7,0,0,15,380,88,140,48,4,0,8,473,42,0,113,0,14,0,15,2,70,21,27,74,81,2,2,0,11,30,67,95,0,35,36,0,12,18,0,13,18,0,13,0,33,56,435,12,959,0,0,187,61,0,693,29,5,0,36,2,759,53,8,24
    Hispanic or Latino Origin,"54,407",127,296,315,"11,532",324,450,47,"1,050",134,213,64,116,0,276,259,"1,189","1,254",289,66,0,220,178,"1,160",133,45,"1,327",164,324,694,252,413,581,94,143,332,841,49,64,31,71,194,177,784,218,163,351,479,7,97,1,0,163,31,47,142,187,302,"1,532",46,"5,568",49,156,"1,334",123,13,"4,263","1,210",132,52,334,131,"9,319",702,4,979
        High school graduate or higher,"33,950",103,113,251,"7,623",256,186,47,645,56,156,41,88,0,181,259,731,895,155,66,0,112,51,994,115,45,885,151,285,120,188,207,323,87,103,218,365,17,52,21,36,158,175,631,166,136,209,268,7,65,0,0,123,24,42,56,116,137,852,46,"4,137",21,123,962,42,13,"2,177",581,103,47,177,110,"5,078",414,4,523
        Bachelor's degree or higher,"6,931",54,47,49,"1,513",61,6,0,65,33,65,0,22,0,83,16,312,120,20,0,0,0,0,291,0,0,81,28,58,14,0,43,65,0,0,31,27,0,0,0,0,0,11,166,41,21,48,27,0,0,0,0,85,0,0,0,36,13,337,22,816,10,1,151,27,0,633,20,47,1,32,54,"1,068",137,0,23
POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Less than high school graduate,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
    High school graduate (includes equivalency),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
    Some college or associate's degree,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
    Bachelor's degree or higher,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Population 25 years and over with earnings,"30,675","26,939","28,369","26,031","35,813","26,481","30,536","28,558","26,962","26,531","27,946","22,473","25,077","37,115","26,264","25,507","31,594","27,252","29,933","29,986","24,277","26,533","33,043","35,885","28,347","25,605","26,559","35,027","28,923","26,029","27,933","22,404","27,073","24,540","20,228","30,523","24,834","23,099","23,248","26,819","25,730","32,033","24,610","35,185","28,004","22,054","27,764","28,348","23,182","23,486","30,182","26,485","25,908","27,044","25,396","24,678","24,583","21,663","26,273","29,419","35,073","25,403","25,214","40,280","25,144","29,607","28,496","22,522","23,311","21,442","30,706","22,706","33,165","26,897","29,605","26,074"
        Less than high school graduate,"20,183","15,968","11,067","12,750","24,512","12,475","20,759",-,"23,839",-,"12,500",-,"13,578",-,"17,177","20,865","17,757","24,306","20,330","12,072",-,"19,952","32,930","20,821","26,765","25,833","21,419",-,"5,907","20,473","15,313","21,111","27,694","12,813",-,"18,534","16,681","26,607","18,542","29,177","19,647","11,802","22,556","22,040","11,644","16,985","12,159","17,024","20,147","20,000","38,555","30,708","28,380","30,833","13,708","15,833","12,750","17,054","25,879",-,"17,842","19,922","20,400","20,186","22,212","30,179","21,355","19,491","15,357","10,045","13,206","18,709","21,511","16,504","19,091","25,762"
        High school graduate (includes equivalency),"23,714","25,327","23,865","24,529","30,127","20,398","25,345","26,576","25,305","21,469","22,500","21,864","19,404","22,692","20,434","18,006","23,271","21,679","22,178","23,995","21,660","22,230","19,104","25,756","25,384","17,068","20,514","19,795","22,379","20,684","20,317","20,396","23,607","18,194","15,739","22,976","20,791","21,210","20,038","19,750","17,690","27,043","22,017","25,661","24,500","18,795","21,834","23,300","22,294","19,669","25,208","25,357","20,090","20,472","16,635","19,342","19,255","18,648","21,080","23,523","26,345","20,885","18,995","26,672","18,994","16,181","21,699","19,321","23,805","16,597","23,976","20,455","27,804","22,164","25,482","26,044"
        Some college or associate's degree,"28,120","26,003","27,778","22,994","32,269","26,981","26,653","24,167","26,311","27,847","25,352","19,268","24,815","21,833","19,719","27,387","27,522","26,905","28,268","26,803","23,716","17,470","28,652","32,222","28,096","25,563","24,547","35,699","25,552","24,844","30,021","23,422","26,107","24,048","19,934","30,097","24,866","18,994","23,563","30,313","30,258","27,482","22,199","33,342","25,478","21,222","27,099","27,919","26,108","20,846","25,000","22,868","25,649","23,393","24,025","25,116","24,211","22,767","20,853","29,240","31,779","21,657","28,541","36,557","26,011","25,817","27,224","23,103","21,640","17,950","30,045","22,396","30,804","25,443","33,583","22,559"
        Bachelor's degree,"41,696","41,724","38,612","38,507","49,539","34,561","39,250","51,985","37,972","38,190","35,596","33,824","37,500","45,986","48,692","30,859","38,148","41,602","46,920","50,146","37,262","39,180","39,561","45,380","39,712","34,888","41,481","45,797","41,711","38,145","33,125","37,604","33,595","42,281","42,500","39,000","32,708","42,619","32,258","31,000","39,399","41,268","38,560","45,340","46,250","41,607","37,462","40,256","26,607","42,188","36,071","44,091","39,766","53,611","41,638","33,500","40,556","26,389","34,725","40,524","42,313","39,630","33,523","51,339","40,469","33,709","39,760","36,033","43,341","42,214","39,711","37,679","41,984","39,733","37,404","35,000"
        Graduate or professional degree,"54,871","57,787","46,000","48,801","61,632","46,821","52,561","102,946","43,694","48,214","46,452","48,906","54,000","63,073","51,961","53,456","55,035","55,253","53,601","46,596",-,"53,100","45,341","60,884","61,154","49,861","54,750","90,500","50,918","42,122","48,649","38,011","48,954","50,511","37,625","44,020","54,902","53,125","49,402",-,"50,234","49,671","51,432","59,417","50,952","51,250","59,250","53,990",-,"50,461","41,188","44,583","56,250","63,096","54,089","44,667","45,125","50,060","56,674","49,375","58,617","56,406","41,005","61,499",-,"54,792","54,920","47,353",-,"53,218","55,000","53,229","57,608","50,513","170,625","48,832"
