Label (Grouping),Arkansas!!Female!!Estimate,"Arkansas County, Arkansas!!Female!!Estimate","Ashley County, Arkansas!!Female!!Estimate","Baxter County, Arkansas!!Female!!Estimate","Benton County, Arkansas!!Female!!Estimate","Boone County, Arkansas!!Female!!Estimate","Bradley County, Arkansas!!Female!!Estimate","Calhoun County, Arkansas!!Female!!Estimate","Carroll County, Arkansas!!Female!!Estimate","Chicot County, Arkansas!!Female!!Estimate","Clark County, Arkansas!!Female!!Estimate","Clay County, Arkansas!!Female!!Estimate","Cleburne County, Arkansas!!Female!!Estimate","Cleveland County, Arkansas!!Female!!Estimate","Columbia County, Arkansas!!Female!!Estimate","Conway County, Arkansas!!Female!!Estimate","Craighead County, Arkansas!!Female!!Estimate","Crawford County, Arkansas!!Female!!Estimate","Crittenden County, Arkansas!!Female!!Estimate","Cross County, Arkansas!!Female!!Estimate","Dallas County, Arkansas!!Female!!Estimate","Desha County, Arkansas!!Female!!Estimate","Drew County, Arkansas!!Female!!Estimate","Faulkner County, Arkansas!!Female!!Estimate","Franklin County, Arkansas!!Female!!Estimate","Fulton County, Arkansas!!Female!!Estimate","Garland County, Arkansas!!Female!!Estimate","Grant County, Arkansas!!Female!!Estimate","Greene County, Arkansas!!Female!!Estimate","Hempstead County, Arkansas!!Female!!Estimate","Hot Spring County, Arkansas!!Female!!Estimate","Howard County, Arkansas!!Female!!Estimate","Independence County, Arkansas!!Female!!Estimate","Izard County, Arkansas!!Female!!Estimate","Jackson County, Arkansas!!Female!!Estimate","Jefferson County, Arkansas!!Female!!Estimate","Johnson County, Arkansas!!Female!!Estimate","Lafayette County, Arkansas!!Female!!Estimate","Lawrence County, Arkansas!!Female!!Estimate","Lee County, Arkansas!!Female!!Estimate","Lincoln County, Arkansas!!Female!!Estimate","Little River County, Arkansas!!Female!!Estimate","Logan County, Arkansas!!Female!!Estimate","Lonoke County, Arkansas!!Female!!Estimate","Madison County, Arkansas!!Female!!Estimate","Marion County, Arkansas!!Female!!Estimate","Miller County, Arkansas!!Female!!Estimate","Mississippi County, Arkansas!!Female!!Estimate","Monroe County, Arkansas!!Female!!Estimate","Montgomery County, Arkansas!!Female!!Estimate","Nevada County, Arkansas!!Female!!Estimate","Newton County, Arkansas!!Female!!Estimate","Ouachita County, Arkansas!!Female!!Estimate","Perry County, Arkansas!!Female!!Estimate","Phillips County, Arkansas!!Female!!Estimate","Pike County, Arkansas!!Female!!Estimate","Poinsett County, Arkansas!!Female!!Estimate","Polk County, Arkansas!!Female!!Estimate","Pope County, Arkansas!!Female!!Estimate","Prairie County, Arkansas!!Female!!Estimate","Pulaski County, Arkansas!!Female!!Estimate","Randolph County, Arkansas!!Female!!Estimate","St. Francis County, Arkansas!!Female!!Estimate","Saline County, Arkansas!!Female!!Estimate","Scott County, Arkansas!!Female!!Estimate","Searcy County, Arkansas!!Female!!Estimate","Sebastian County, Arkansas!!Female!!Estimate","Sevier County, Arkansas!!Female!!Estimate","Sharp County, Arkansas!!Female!!Estimate","Stone County, Arkansas!!Female!!Estimate","Union County, Arkansas!!Female!!Estimate","Van Buren County, Arkansas!!Female!!Estimate","Washington County, Arkansas!!Female!!Estimate","White County, Arkansas!!Female!!Estimate","Woodruff County, Arkansas!!Female!!Estimate","Yell County, Arkansas!!Female!!Estimate"
"        Some college, no degree","238,258","1,263","1,250","4,473","18,833","3,957",780,315,"2,370",758,"1,550","1,123","2,208",556,"1,815","1,596","7,397","4,955","4,480","1,313",619,817,"1,395","9,025","1,551","1,310","10,821","1,622","3,934","1,772","3,278","1,040","2,918","1,135","1,490","5,314","1,444",494,"1,426",471,859,"1,285","1,732","5,584","1,018","1,877","4,190","2,625",605,959,600,640,"2,356",919,"1,475",899,"1,597","1,908","4,208",758,"33,617","1,546","2,018","10,390",940,636,"10,488","1,139","1,879","1,021","3,116","1,191","14,560","4,636",524,"1,595"
        Associate's degree,"94,392",680,633,"1,946","6,764","1,736",339,278,735,246,580,589,913,243,306,924,"4,097","2,521","1,414",557,194,173,463,"3,094",585,423,"3,631",527,"1,039",880,"1,060",440,"1,307",604,493,"1,756",546,161,472,258,261,548,882,"2,708",359,744,"1,209","1,346",203,365,430,304,921,257,950,418,553,577,"1,376",252,"12,380",968,973,"4,735",348,255,"3,954",618,528,709,"1,647",611,"5,355","2,282",214,545
        Bachelor's degree,"166,543",711,816,"1,835","20,422","1,675",468,111,"1,403",467,"1,346",417,"1,036",376,902,"1,092","6,393","2,597","2,127",569,263,516,979,"8,493",554,394,"5,606",911,"2,235",861,"1,295",507,"1,845",542,428,"3,450",922,287,680,257,403,545,741,"4,084",567,752,"1,876","1,735",274,342,315,347,777,406,767,447,772,837,"3,759",466,"30,167",688,580,"8,189",363,269,"7,441",401,529,439,"2,124",710,"14,454","3,440",169,580
        Graduate or professional degree,"95,848",429,339,"1,043","9,140",947,193,121,805,176,560,373,578,186,808,385,"4,277","1,229","1,008",529,75,197,572,"5,407",196,300,"2,943",531,"1,072",497,719,180,845,227,317,"1,959",626,95,351,77,198,190,340,"1,745",331,311,"1,084",962,106,293,144,172,376,171,428,296,415,448,"1,934",196,"21,194",354,439,"4,577",130,100,"3,457",319,250,160,"1,047",463,"9,952","2,485",130,339
        High school graduate or higher,"928,761","5,733","6,150","15,278","82,168","12,322","3,369","1,642","9,013","3,049","6,252","4,548","8,516","2,678","6,903","6,591","33,081","19,047","14,277","5,219","2,303","3,482","5,481","37,285","5,529","4,023","34,511","6,008","14,513","6,568","10,360","4,030","11,351","4,142","5,216","21,286","7,329","2,004","4,980","2,182","2,969","4,281","6,869","22,932","4,820","5,780","13,376","11,777","2,142","3,088","2,812","2,341","7,678","3,150","5,319","3,304","6,860","6,304","18,152","2,814","132,276","5,479","6,598","40,212","2,962","2,253","37,907","4,204","5,711","3,862","12,334","5,461","63,168","23,242","2,023","5,882"
        Bachelor's degree or higher,"262,391","1,140","1,155","2,878","29,562","2,622",661,232,"2,208",643,"1,906",790,"1,614",562,"1,710","1,477","10,670","3,826","3,135","1,098",338,713,"1,551","13,900",750,694,"8,549","1,442","3,307","1,358","2,014",687,"2,690",769,745,"5,409","1,548",382,"1,031",334,601,735,"1,081","5,829",898,"1,063","2,960","2,697",380,635,459,519,"1,153",577,"1,195",743,"1,187","1,285","5,693",662,"51,361","1,042","1,019","12,766",493,369,"10,898",720,779,599,"3,171","1,173","24,406","5,925",299,919
    Population 25 to 34 years,"196,637","1,087","1,020","1,936","19,903","2,218",614,328,"1,525",459,"1,130",865,"1,183",444,"1,351","1,283","8,425","3,946","3,427","1,132",369,737,"1,192","9,036","1,005",552,"5,735","1,111","3,187","1,123","2,018",617,"2,220",567,"1,098","4,136","1,555",281,954,268,486,618,"1,282","5,284",922,715,"2,880","2,705",483,422,523,343,"1,351",537,"1,057",550,"1,467","1,004","4,375",448,"30,267","1,043","1,340","7,958",588,279,"8,454","1,011",829,585,"2,360",769,"17,189","5,004",313,"1,159"
        High school graduate or higher,"180,233",986,797,"1,733","18,304","2,053",576,282,"1,274",412,"1,060",824,"1,104",438,"1,187","1,247","7,956","3,741","3,174",981,331,653,"1,071","8,785",985,476,"5,411","1,057","2,833","1,022","1,875",565,"1,981",515,905,"3,761","1,330",236,904,227,407,586,"1,174","4,942",823,655,"2,600","2,506",352,368,421,272,"1,095",508,892,540,"1,158",955,"4,046",413,"28,253",984,"1,190","7,533",539,204,"7,598",852,752,436,"2,231",678,"15,409","4,571",259,979
        Bachelor's degree or higher,"59,052",305,161,516,"7,718",479,51,42,172,62,350,175,186,98,453,228,"2,867",957,772,284,36,114,253,"3,492",170,33,"1,094",289,856,239,362,154,373,115,165,699,381,20,229,48,56,123,226,"1,389",181,130,581,430,101,11,23,79,228,114,284,141,289,204,"1,375",184,"11,684",193,171,"3,081",107,37,"2,832",100,96,89,684,117,"7,114","1,425",33,142
    Population 35 to 44 years,"187,235","1,125","1,232","2,075","19,188","2,091",865,333,"1,450",527,"1,190",790,"1,368",502,"1,423","1,182","7,258","3,768","3,074","1,026",342,686,882,"7,892","1,014",607,"5,855","1,111","2,827","1,543","1,966","1,076","2,272",623,"1,221","3,922","1,460",349,935,310,507,910,"1,215","5,223",821,770,"2,749","2,673",366,427,419,361,"1,319",569,"1,014",657,"1,366","1,106","3,519",439,"26,380",981,"1,249","8,663",527,400,"7,816","1,023",918,583,"2,355",849,"15,341","4,582",394,"1,384"
