Label (Grouping),Arkansas!!Total!!Estimate,"Arkansas County, Arkansas!!Total!!Estimate","Ashley County, Arkansas!!Total!!Estimate","Baxter County, Arkansas!!Total!!Estimate","Benton County, Arkansas!!Total!!Estimate","Boone County, Arkansas!!Total!!Estimate","Bradley County, Arkansas!!Total!!Estimate","Calhoun County, Arkansas!!Total!!Estimate","Carroll County, Arkansas!!Total!!Estimate","Chicot County, Arkansas!!Total!!Estimate","Clark County, Arkansas!!Total!!Estimate","Clay County, Arkansas!!Total!!Estimate","Cleburne County, Arkansas!!Total!!Estimate","Cleveland County, Arkansas!!Total!!Estimate","Columbia County, Arkansas!!Total!!Estimate","Conway County, Arkansas!!Total!!Estimate","Craighead County, Arkansas!!Total!!Estimate","Crawford County, Arkansas!!Total!!Estimate","Crittenden County, Arkansas!!Total!!Estimate","Cross County, Arkansas!!Total!!Estimate","Dallas County, Arkansas!!Total!!Estimate","Desha County, Arkansas!!Total!!Estimate","Drew County, Arkansas!!Total!!Estimate","Faulkner County, Arkansas!!Total!!Estimate","Franklin County, Arkansas!!Total!!Estimate","Fulton County, Arkansas!!Total!!Estimate","Garland County, Arkansas!!Total!!Estimate","Grant County, Arkansas!!Total!!Estimate","Greene County, Arkansas!!Total!!Estimate","Hempstead County, Arkansas!!Total!!Estimate","Hot Spring County, Arkansas!!Total!!Estimate","Howard County, Arkansas!!Total!!Estimate","Independence County, Arkansas!!Total!!Estimate","Izard County, Arkansas!!Total!!Estimate","Jackson County, Arkansas!!Total!!Estimate","Jefferson County, Arkansas!!Total!!Estimate","Johnson County, Arkansas!!Total!!Estimate","Lafayette County, Arkansas!!Total!!Estimate","Lawrence County, Arkansas!!Total!!Estimate","Lee County, Arkansas!!Total!!Estimate","Lincoln County, Arkansas!!Total!!Estimate","Little River County, Arkansas!!Total!!Estimate","Logan County, Arkansas!!Total!!Estimate","Lonoke County, Arkansas!!Total!!Estimate","Madison County, Arkansas!!Total!!Estimate","Marion County, Arkansas!!Total!!Estimate","Miller County, Arkansas!!Total!!Estimate","Mississippi County, Arkansas!!Total!!Estimate","Monroe County, Arkansas!!Total!!Estimate","Montgomery County, Arkansas!!Total!!Estimate","Nevada County, Arkansas!!Total!!Estimate","Newton County, Arkansas!!Total!!Estimate","Ouachita County, Arkansas!!Total!!Estimate","Perry County, Arkansas!!Total!!Estimate","Phillips County, Arkansas!!Total!!Estimate","Pike County, Arkansas!!Total!!Estimate","Poinsett County, Arkansas!!Total!!Estimate","Polk County, Arkansas!!Total!!Estimate","Pope County, Arkansas!!Total!!Estimate","Prairie County, Arkansas!!Total!!Estimate","Pulaski County, Arkansas!!Total!!Estimate","Randolph County, Arkansas!!Total!!Estimate","St. Francis County, Arkansas!!Total!!Estimate","Saline County, Arkansas!!Total!!Estimate","Scott County, Arkansas!!Total!!Estimate","Searcy County, Arkansas!!Total!!Estimate","Sebastian County, Arkansas!!Total!!Estimate","Sevier County, Arkansas!!Total!!Estimate","Sharp County, Arkansas!!Total!!Estimate","Stone County, Arkansas!!Total!!Estimate","Union County, Arkansas!!Total!!Estimate","Van Buren County, Arkansas!!Total!!Estimate","Washington County, Arkansas!!Total!!Estimate","White County, Arkansas!!Total!!Estimate","Woodruff County, Arkansas!!Total!!Estimate","Yell County, Arkansas!!Total!!Estimate"
            18 to 64 years old,"14,480",16,13,111,"1,558",159,11,0,43,37,63,15,26,8,64,26,917,190,192,4,8,0,8,871,73,38,688,18,28,11,69,159,80,87,35,446,96,8,75,30,17,7,66,176,72,51,32,61,13,0,0,5,37,22,23,3,38,48,745,0,"3,545",13,38,436,0,0,306,8,6,41,83,10,"1,885",380,0,32
            65 years old and over,"3,477",0,0,66,268,65,23,46,20,30,37,0,23,0,34,18,15,40,15,9,0,0,7,138,0,0,544,0,37,33,0,0,13,36,8,36,11,0,10,3,0,6,86,51,59,59,14,19,12,0,0,5,48,0,25,3,0,62,188,0,482,50,10,74,0,0,296,0,9,11,0,21,208,70,0,24
        Asian and Pacific Island languages,"34,585",10,10,92,"6,801",125,0,5,396,49,82,0,104,0,122,98,558,751,233,10,0,54,5,"1,104",61,1,747,0,111,39,53,81,176,30,28,650,280,50,4,0,0,41,317,531,87,39,185,95,5,15,0,8,12,6,0,5,1,75,565,0,"4,729",274,96,"1,070",112,13,"3,824",126,8,0,258,97,"8,561",279,0,231
            5 to 17 years old,"6,273",0,0,0,"1,371",20,0,0,151,0,3,0,0,0,7,25,117,176,15,3,0,23,0,195,20,0,79,0,30,0,0,0,5,0,4,8,50,10,0,0,0,0,31,33,18,4,6,23,0,0,0,0,0,0,0,0,0,20,178,0,447,57,0,224,0,0,561,0,0,0,87,33,"2,214",22,0,3
            18 to 64 years old,"25,105",10,10,92,"5,093",71,0,5,244,49,61,0,78,0,70,73,375,484,169,7,0,31,5,776,41,0,557,0,81,39,53,81,147,21,24,309,225,40,3,0,0,41,214,478,44,35,179,67,0,15,0,0,7,6,0,5,0,42,364,0,"3,682",217,77,646,112,13,"2,658",113,8,0,94,64,"6,138",238,0,224
            65 years old and over,"3,207",0,0,0,337,34,0,0,1,0,18,0,26,0,45,0,66,91,49,0,0,0,0,133,0,1,111,0,0,0,0,0,24,9,0,333,5,0,1,0,0,0,72,20,25,0,0,5,5,0,0,8,5,0,0,0,1,13,23,0,600,0,19,200,0,0,605,13,0,0,77,0,209,19,0,4
        Other languages,"5,430",17,0,0,446,45,0,0,0,8,9,0,8,0,0,0,389,0,33,232,0,16,55,528,0,5,7,0,0,0,28,0,0,2,28,182,17,0,0,0,39,0,1,130,0,0,36,2,0,0,0,13,24,0,24,15,0,0,181,7,"1,894",0,0,61,12,35,287,57,0,0,0,9,415,133,0,0
            5 to 17 years old,723,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,54,0,0,70,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,287,0,0,0,12,0,96,0,0,0,0,0,65,15,0,0
            18 to 64 years old,"4,397",17,0,0,366,12,0,0,0,8,0,0,6,0,0,0,332,0,25,162,0,8,55,528,0,3,7,0,0,0,28,0,0,2,28,133,17,0,0,0,32,0,0,130,0,0,36,0,0,0,0,0,24,0,24,15,0,0,124,0,"1,561",0,0,53,0,34,155,48,0,0,0,9,297,118,0,0
            65 years old and over,310,0,0,0,39,33,0,0,0,0,9,0,2,0,0,0,3,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,7,0,1,0,0,0,0,2,0,0,0,13,0,0,0,0,0,0,15,7,46,0,0,8,0,1,36,9,0,0,0,0,53,0,0,0
CITIZENS 18 YEARS AND OVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    All citizens 18 years old and over,"2,219,479","13,589","15,043","34,194","181,512","28,821","7,672","4,180","20,298","7,926","17,764","11,495","20,088","6,236","18,457","15,892","79,166","46,407","34,678","12,355","5,586","8,268","14,199","92,892","13,651","9,719","76,598","13,960","33,955","15,186","26,288","9,128","27,880","11,169","13,485","52,689","18,481","5,358","12,808","7,225","10,843","9,579","16,803","53,749","12,372","13,493","32,732","30,048","5,431","7,110","6,381","6,209","18,166","8,025","13,493","8,095","17,912","14,863","47,232","6,448","289,726","13,459","19,241","90,708","7,759","6,321","91,522","10,089","13,595","10,089","29,191","13,186","162,559","58,873","5,082","14,797"
        Speak only English,"2,130,137","13,461","14,733","33,454","168,684","28,325","7,116","4,037","19,424","7,582","17,408","11,413","19,788","6,225","18,039","15,486","77,217","44,120","34,250","12,337","5,534","8,077","13,929","90,200","13,488","9,657","73,912","13,809","33,550","14,518","25,745","8,641","26,951","10,902","13,160","50,918","17,443","5,288","12,647","7,080","10,460","9,447","16,198","52,036","12,025","13,292","32,172","29,468","5,317","7,064","6,362","6,170","17,954","7,949","13,289","7,961","17,690","14,451","45,466","6,402","277,395","13,205","18,737","88,284","7,389","6,282","82,638","8,665","13,478","10,015","28,436","13,016","147,624","56,722","5,072","13,458"
        Speak a language other than English,"89,342",128,310,740,"12,828",496,556,143,874,344,356,82,300,11,418,406,"1,949","2,287",428,18,52,191,270,"2,692",163,62,"2,686",151,405,668,543,487,929,267,325,"1,771","1,038",70,161,145,383,132,605,"1,713",347,201,560,580,114,46,19,39,212,76,204,134,222,412,"1,766",46,"12,331",254,504,"2,424",370,39,"8,884","1,424",117,74,755,170,"14,935","2,151",10,"1,339"
            Spanish,"60,550",95,296,532,"10,095",198,522,92,779,220,238,70,203,3,253,289,"1,186","1,628",215,9,44,163,212,"1,426",69,20,"1,507",150,316,618,408,328,708,112,230,820,729,38,73,112,327,78,195,"1,014",206,108,430,492,84,31,19,21,131,54,132,112,203,278,"1,017",39,"6,490",136,424,"1,404",322,4,"5,666","1,278",98,22,577,88,"11,165","1,674",10,"1,215"
            Other languages,"28,792",33,14,208,"2,733",298,34,51,95,124,118,12,97,8,165,117,763,659,213,9,8,28,58,"1,266",94,42,"1,179",1,89,50,135,159,221,155,95,951,309,32,88,33,56,54,410,699,141,93,130,88,30,15,0,18,81,22,72,22,19,134,749,7,"5,841",118,80,"1,020",48,35,"3,218",146,19,52,178,82,"3,770",477,0,124
